article_id,quality_choice,grade,material,finish,material_description,thickness_mm,width_mm,description,weight_kg,quantity,reserved,rp02,rm,ag,ai,data_source
,3rd,C200S,,pickled and annealed,,2.77,1100,Longitudinal or transverse cracks,13983,0.0,,333.6,606.2,16.11,0.0054,supplier_data1
,3rd,C300S,,unpickled,,2.65,1075,Longitudinal or transverse cracks,13047,0.0,,717.7,,16.11,0.0046,supplier_data1
,3rd,C100S,,pickled and annealed,,2.2,1100,Edge errors - FS edge cracks,14155,10.84,,368.9,,,0.0061,supplier_data1
,2nd,C100S,,pickled,,2.86,1100,Longitudinal or transverse cracks,11381,22.87,,368.9,601.7,,0.0062,supplier_data1
,1st,C300S,,unpickled,,2.88,1050,Target mass (weight) undershot,10072,22.87,,,1213.0,,0.0041,supplier_data1
,2nd,C200S,,pickled,,2.51,1000,Longitudinal or transverse cracks,12863,0.0,,,606.2,,0.0059,supplier_data1
,1st,C100S,,pickled,,2.69,1150,Target mass (weight) undershot,8936,10.84,,,606.2,15.05,0.0066,supplier_data1
,2nd,C300S,,pickled and annealed,,2.98,1000,Target mass (weight) undershot,9810,22.87,,,601.7,15.05,0.0042,supplier_data1
,3rd,C200S,,pickled,,2.03,1050,Longitudinal or transverse cracks,5491,22.87,,368.9,601.7,,0.0064,supplier_data1
,3rd,C300S,,pickled,,2.54,1050,Longitudinal or transverse cracks,11415,0.0,,368.9,606.2,15.05,0.0067,supplier_data1
,2nd,C100S,,pickled and annealed,,2.31,1050,Edge errors - FS edge cracks,14758,0.0,,333.6,,,0.0061,supplier_data1
,1st,C100S,,unpickled,,2.55,1050,Target mass (weight) undershot,13400,0.0,,717.7,606.2,15.05,0.0047,supplier_data1
,3rd,C100S,,pickled and annealed,,2.52,1100,Longitudinal or transverse cracks,12787,25.46,,368.9,,16.11,0.005,supplier_data1
,2nd,C200S,,unpickled,,2.46,1000,Target mass (weight) undershot,8391,22.87,,368.9,601.7,,0.0053,supplier_data1
,3rd,C100S,,pickled and annealed,,2.74,1100,Longitudinal or transverse cracks,10409,10.84,,,601.7,6.858,0.0062,supplier_data1
,2nd,C100S,,pickled,,2.27,1150,Target mass (weight) undershot,5951,0.0,,,601.7,6.858,0.0061,supplier_data1
,2nd,C300S,,unpickled,,2.08,1150,Edge errors - FS edge cracks,8240,22.87,,333.6,601.7,15.05,0.0068,supplier_data1
,1st,C300S,,pickled and annealed,,2.29,1050,Longitudinal or transverse cracks,14139,22.87,,368.9,606.2,16.11,0.0066,supplier_data1
,3rd,C100S,,unpickled,,2.19,1050,Longitudinal or transverse cracks,7304,10.84,,333.6,1213.0,,0.0064,supplier_data1
,2nd,C100S,,pickled and annealed,,2.14,1000,Edge errors - FS edge cracks,13518,22.87,,368.9,1213.0,16.11,0.0055,supplier_data1
,1st,C100S,,pickled,,2.84,1150,Longitudinal or transverse cracks,12010,10.84,,717.7,1213.0,6.858,0.0068,supplier_data1
,2nd,C200S,,pickled and annealed,,2.88,1050,Target mass (weight) undershot,6665,0.0,,717.7,1213.0,16.11,0.0051,supplier_data1
,1st,C100S,,pickled and annealed,,2.51,1050,Longitudinal or transverse cracks,14839,0.0,,,606.2,15.05,0.0041,supplier_data1
,3rd,C200S,,pickled,,2.22,1050,Longitudinal or transverse cracks,10959,22.87,,368.9,606.2,,0.0051,supplier_data1
,2nd,C200S,,unpickled,,2.83,1100,Target mass (weight) undershot,14688,0.0,,333.6,606.2,16.11,0.0057,supplier_data1
,3rd,C300S,,pickled,,2.32,1150,Longitudinal or transverse cracks,5979,25.46,,717.7,601.7,16.11,0.0065,supplier_data1
,3rd,C100S,,pickled and annealed,,2.48,1050,Edge errors - FS edge cracks,10499,10.84,,333.6,1213.0,15.05,0.0059,supplier_data1
,2nd,C300S,,pickled and annealed,,2.21,1100,Target mass (weight) undershot,10723,25.46,,368.9,1213.0,6.858,0.0042,supplier_data1
,2nd,C100S,,unpickled,,2.75,1100,Longitudinal or transverse cracks,10262,10.84,,368.9,,6.858,0.0049,supplier_data1
,3rd,C200S,,pickled,,2.75,1075,Edge errors - FS edge cracks,8118,0.0,,,601.7,,0.0069,supplier_data1
,3rd,C100S,,unpickled,,2.89,1075,Target mass (weight) undershot,5011,10.84,,,606.2,,0.0053,supplier_data1
,1st,C100S,,pickled and annealed,,2.32,1150,Target mass (weight) undershot,8410,25.46,,333.6,601.7,6.858,0.0048,supplier_data1
,3rd,C300S,,pickled,,2.53,1100,Longitudinal or transverse cracks,5124,25.46,,,601.7,15.05,0.0041,supplier_data1
,2nd,C100S,,pickled and annealed,,2.18,1075,Target mass (weight) undershot,12071,25.46,,368.9,1213.0,16.11,0.0054,supplier_data1
,2nd,C100S,,pickled,,2.75,1000,Edge errors - FS edge cracks,13321,10.84,,368.9,606.2,16.11,0.0045,supplier_data1
,2nd,C300S,,unpickled,,2.43,1000,Longitudinal or transverse cracks,7968,0.0,,717.7,1213.0,,0.0047,supplier_data1
,1st,C300S,,pickled,,2.82,1050,Edge errors - FS edge cracks,12702,22.87,,717.7,,16.11,0.0054,supplier_data1
,1st,C200S,,pickled and annealed,,2.8,1050,Edge errors - FS edge cracks,5915,0.0,,717.7,601.7,15.05,0.0058,supplier_data1
,1st,C100S,,pickled,,2.01,1050,Longitudinal or transverse cracks,8047,22.87,,333.6,601.7,16.11,0.0067,supplier_data1
,2nd,C300S,,unpickled,,2.3,1000,Longitudinal or transverse cracks,7772,25.46,,,,,0.0059,supplier_data1
,3rd,C200S,,unpickled,,2.12,1075,Longitudinal or transverse cracks,9995,10.84,,368.9,,15.05,0.007,supplier_data1
,1st,C100S,,pickled and annealed,,2.37,1075,Edge errors - FS edge cracks,9774,10.84,,368.9,606.2,16.11,0.0063,supplier_data1
,2nd,C100S,,pickled and annealed,,2.43,1150,Target mass (weight) undershot,11360,22.87,,368.9,606.2,16.11,0.0051,supplier_data1
,3rd,C100S,,unpickled,,2.08,1100,Longitudinal or transverse cracks,8261,22.87,,333.6,1213.0,15.05,0.0041,supplier_data1
,3rd,C100S,,pickled and annealed,,2.75,1050,Edge errors - FS edge cracks,9110,22.87,,368.9,1213.0,16.11,0.0058,supplier_data1
,2nd,C300S,,unpickled,,2.72,1150,Longitudinal or transverse cracks,13667,10.84,,,606.2,,0.0055,supplier_data1
,3rd,C100S,,pickled and annealed,,2.74,1000,Longitudinal or transverse cracks,6947,22.87,,717.7,606.2,6.858,0.0045,supplier_data1
,3rd,C100S,,pickled,,2.48,1150,Target mass (weight) undershot,8786,0.0,,717.7,1213.0,,0.0042,supplier_data1
,1st,C300S,,pickled,,2.48,1150,Target mass (weight) undershot,14311,25.46,,368.9,1213.0,15.05,0.0046,supplier_data1
,1st,C100S,,pickled,,2.79,1050,Target mass (weight) undershot,8048,0.0,,,,15.05,0.0052,supplier_data1
23048203,,,HDC,,Oiled,,,,24469,52.0,NOT RESERVED,,,,,supplier_data2
23040547,,,S235JR,,Oiled,,,,16984,41.0,NOT RESERVED,,,,,supplier_data2
23046057,,,S235JR,,Painted,,,,9162,28.0,NOT RESERVED,,,,,supplier_data2
23041966,,,DX51D +AZ150,,Oiled,,,,12119,66.0,VANILLA,,,,,supplier_data2
23043884,,,HDC,,Painted,,,,17260,26.0,NOT RESERVED,,,,,supplier_data2
23048868,,,DX51D +Z140,,not Oiled,,,,23258,60.0,VANILLA,,,,,supplier_data2
23046459,,,HDC,,Oiled,,,,20994,93.0,VANILLA,,,,,supplier_data2
23043788,,,HDC,,Oiled,,,,22325,73.0,NOT RESERVED,,,,,supplier_data2
23044935,,,S235JR,,Oiled,,,,10571,60.0,NOT RESERVED,,,,,supplier_data2
23049059,,,DX51D +Z140,,not Oiled,,,,12999,95.0,VANILLA,,,,,supplier_data2
23047860,,,HDC,,not Oiled,,,,15862,59.0,NOT RESERVED,,,,,supplier_data2
23047939,,,DX51D +AZ150,,Painted,,,,9217,72.0,NOT RESERVED,,,,,supplier_data2
23047348,,,S235JR,,not Oiled,,,,15881,36.0,NOT RESERVED,,,,,supplier_data2
23045961,,,HDC,,Painted,,,,23915,30.0,VANILLA,,,,,supplier_data2
23042649,,,S235JR,,Painted,,,,15741,71.0,NOT RESERVED,,,,,supplier_data2
23048176,,,S235JR,,not Oiled,,,,15717,54.0,VANILLA,,,,,supplier_data2
23043667,,,S235JR,,Painted,,,,23967,10.0,NOT RESERVED,,,,,supplier_data2
23046190,,,HDC,,not Oiled,,,,21346,58.0,VANILLA,,,,,supplier_data2
23044291,,,S235JR,,not Oiled,,,,10389,22.0,NOT RESERVED,,,,,supplier_data2
23046841,,,S235JR,,Oiled,,,,18501,94.0,VANILLA,,,,,supplier_data2
23041008,,,S235JR,,Oiled,,,,14277,33.0,VANILLA,,,,,supplier_data2
23041560,,,S235JR,,Oiled,,,,24951,98.0,NOT RESERVED,,,,,supplier_data2
23043638,,,HDC,,Painted,,,,15121,12.0,NOT RESERVED,,,,,supplier_data2
23041902,,,DX51D +AZ150,,Oiled,,,,17933,72.0,NOT RESERVED,,,,,supplier_data2
23049627,,,DX51D +AZ150,,not Oiled,,,,20304,82.0,VANILLA,,,,,supplier_data2
23044610,,,HDC,,not Oiled,,,,20027,96.0,VANILLA,,,,,supplier_data2
23049106,,,DX51D +Z140,,not Oiled,,,,23131,34.0,NOT RESERVED,,,,,supplier_data2
23048028,,,S235JR,,Painted,,,,6113,29.0,NOT RESERVED,,,,,supplier_data2
23045099,,,DX51D +AZ150,,Oiled,,,,9037,78.0,NOT RESERVED,,,,,supplier_data2
23046741,,,S235JR,,not Oiled,,,,24331,31.0,VANILLA,,,,,supplier_data2
23047239,,,DX51D +Z140,,Painted,,,,11898,21.0,VANILLA,,,,,supplier_data2
23049907,,,DX51D +AZ150,,Oiled,,,,21609,33.0,NOT RESERVED,,,,,supplier_data2
23044447,,,S235JR,,Painted,,,,19165,67.0,VANILLA,,,,,supplier_data2
23047489,,,HDC,,not Oiled,,,,18716,64.0,NOT RESERVED,,,,,supplier_data2
23040273,,,S235JR,,not Oiled,,,,7025,33.0,VANILLA,,,,,supplier_data2
23040905,,,DX51D +Z140,,Painted,,,,14796,76.0,VANILLA,,,,,supplier_data2
23043967,,,DX51D +Z140,,not Oiled,,,,21149,62.0,NOT RESERVED,,,,,supplier_data2
23045724,,,S235JR,,Painted,,,,16393,68.0,VANILLA,,,,,supplier_data2
23049672,,,HDC,,not Oiled,,,,21321,93.0,VANILLA,,,,,supplier_data2
23049617,,,DX51D +AZ150,,Oiled,,,,22395,62.0,NOT RESERVED,,,,,supplier_data2
23043836,,,DX51D +AZ150,,Painted,,,,9355,64.0,VANILLA,,,,,supplier_data2
23049333,,,S235JR,,Painted,,,,10143,78.0,NOT RESERVED,,,,,supplier_data2
23041897,,,HDC,,Oiled,,,,17001,62.0,VANILLA,,,,,supplier_data2
23040756,,,S235JR,,not Oiled,,,,6034,50.0,NOT RESERVED,,,,,supplier_data2
23041086,,,DX51D +AZ150,,Oiled,,,,15230,95.0,NOT RESERVED,,,,,supplier_data2
23047543,,,DX51D +Z140,,not Oiled,,,,9940,96.0,NOT RESERVED,,,,,supplier_data2
23045292,,,DX51D +AZ150,,Painted,,,,23884,51.0,NOT RESERVED,,,,,supplier_data2
23047408,,,S235JR,,Oiled,,,,5302,12.0,VANILLA,,,,,supplier_data2
23043348,,,DX51D +Z140,,Oiled,,,,16927,69.0,VANILLA,,,,,supplier_data2
23043386,,,HDC,,not Oiled,,,,11191,75.0,VANILLA,,,,,supplier_data2
